lang	noun	verb	n2v
ara	0.5291255331504435	0.0930835619455736	0.8503982621288921
chi	0.9844961240310077	0.0	1.0
nld	0.24436382482508423	0.08506089660533817	0.7417895771878072
eng	0.23697193822057863	0.12576897976941484	0.6532815198618307
fre	0.2874600208084467	0.09479885168201611	0.7520035282258064
ger	0.16944212686314744	0.049286028367195076	0.7746699398836333
jpn	0.6639185079330182	0.0005496317467296911	0.99917282452851
kor	0.5884533127302451	0.08543892547781315	0.8732157448422271
fas	0.4965188323716652	0.05371856835650563	0.90237201563286
rus	0.35392304174560657	0.10923107075194355	0.7641582622187743
spa	0.23569307150139635	0.0851988120040782	0.7344937146014643
tam	0.5048379831878049	0.09991262868275529	0.8347870564798363
tha	0.906912770692288	0.013050127962024021	0.9858145062359436
tur	0.33702835216371774	0.3047324664250693	0.5251619332336821
