lang,noun,pron,verb,noun2verb,pron2noun
ara,0.37534641326076096,0.012049662761010776,0.10609420050822477,0.7796318019835091,0.031104245775410443
ces,0.1984078619771395,0.055972134975906106,0.1271785202236381,0.6093862422501085,0.22003355470688857
deu,0.15835846728847314,0.13352814043085914,0.09414972461268449,0.6271419002139199,0.45746579973019874
eng,0.1691120256071976,0.11473900985527109,0.11889817580150709,0.587173734749822,0.4042226221522524
fas,0.4025070707491968,0.04654462747666945,0.0807545421394274,0.8328968409952341,0.1036509329784523
fra,0.23933323915630525,0.07139416574875353,0.12157096669277655,0.663148933366508,0.22976462526878716
hin,0.22603100152065733,0.12097719842713482,0.09825435169033285,0.6970126750485537,0.3486292209963223
jpn,0.22813490258097727,0.02201201868534734,0.11527845640019413,0.6643157483966294,0.08799636059446737
kor,0.22069787667106444,0.033863652183374844,0.07877287125053105,0.736959713770927,0.13302737587948102
nld,0.17064684336128946,0.0763057641926515,0.16103735035006955,0.5144859073682334,0.3089895059155604
rus,0.23953387068705542,0.08696220040476275,0.11797155275192915,0.6700146486810896,0.26634991384109796
pol,0.3256646440228944,0.04214362761804709,0.10840480515510645,0.750259306752887,0.11458042373551665
spa,0.18606174240678977,0.06892540830459913,0.10519068005788527,0.6388332870582614,0.27030933955810743
tam,0.34541327004437106,0.07401712929522238,0.13387679290062945,0.7206768859800207,0.17647058823529413
tur,0.28294588523286124,0.04541546250728988,0.22087110474789293,0.5616044930197169,0.13830940462343766
zho,0.5156008527797339,0.04430132836843172,0.10519115192791889,0.8305533075003824,0.07912333593268922
